Freq,Burst,Centrality,Sigma,PageRank,Keyword,Author,Year,Title,Source,Vol,Page,Half-life,ClusterID
3,,0.00,1.00,0.00,,Brockmann D,2013,<html><b>...</b></html>,SCIENCE,342,1337,2,-1
3,,0.00,1.00,0.00,,Bettencourt LMA,2013,<html><b>...</b></html>,HYPOTHESIS URBAN SCA,0,0,3,-1
3,,0.00,1.00,0.00,,Bettencourt LMA,2013,<html><b>...</b></html>,2013010037 SFI,0,37,5,-1
3,,0.00,1.00,0.00,,Bettencourt L,2013,<html><b>...</b></html>,ARXIV13015919,0,0,5,-1
33,,0.14,1.00,0.00,,Gomez-lievano A,2012,<html><b>...</b></html>,PLOS ONE,7,0,4,-1
15,3.81,0.02,1.08,0.00,,Simini F,2012,<html><b>...</b></html>,NATURE,484,96,3,-1
13,2.89,0.04,1.11,0.00,,Strano E,2012,<html><b>...</b></html>,SCI REP-UK,2,0,2,-1
11,,0.02,1.00,0.00,,Seto KC,2012,<html><b>...</b></html>,P NATL ACAD SCI USA,109,7687,3,-1
10,3.74,0.00,1.01,0.00,,Noulas A,2012,<html><b>...</b></html>,PLOS ONE,7,0,4,-1
7,,0.00,1.00,0.00,,Batty M,2012,<html><b>...</b></html>,CITIES,29,0,6,-1
6,,0.00,1.00,0.00,,Seto KC,2012,<html><b>...</b></html>,P NATL ACAD SCI USA,109,16083,6,-1
5,,0.00,1.00,0.00,,Scheffer M,2012,<html><b>...</b></html>,SCIENCE,338,344,2,-1
5,,0.00,1.00,0.00,,Portugali J,2012,<html><b>...</b></html>,COMPLEXITY THEORIES,0,0,5,-1
4,,0.00,1.00,0.00,,UN,2012,<html><b>...</b></html>,WORLD URB PROSP 2011,0,0,3,-1
4,,0.00,1.00,0.00,,Makido Y,2012,<html><b>...</b></html>,URBAN CLIM,2,55,5,-1
4,,0.00,1.00,0.00,,Cristelli M,2012,<html><b>...</b></html>,SCI REP-UK,2,0,3,-1
3,,0.00,1.00,0.00,,Vespignani A,2012,<html><b>...</b></html>,NAT PHYS,8,32,3,-1
3,,0.00,1.00,0.00,,Stumpf MPH,2012,<html><b>...</b></html>,SCIENCE,335,665,3,-1
3,,0.00,1.00,0.00,,Petersen AM,2012,<html><b>...</b></html>,SCI REP-UK,2,0,4,-1
3,,0.00,1.00,0.00,,Marquet PA,2012,<html><b>...</b></html>,P NATL ACAD SCI USA,109,14754,5,-1
3,,0.00,1.00,0.00,,Levinson D,2012,<html><b>...</b></html>,PLOS ONE,7,0,2,-1
3,,0.00,1.00,0.00,,Gurney KR,2012,<html><b>...</b></html>,ENVIRON SCI TECHNOL,46,12194,4,-1
3,,0.00,1.00,0.00,,Gallos LK,2012,<html><b>...</b></html>,SCI REP-UK,2,0,3,-1
3,,0.00,1.00,0.00,,Chen YG,2012,<html><b>...</b></html>,CHAOS SOLITON FRACT,45,115,2,-1
3,,0.00,1.00,0.00,,Batty M,2012,<html><b>...</b></html>,EUR PHYS J-SPEC TOP,214,481,5,-1
2,,0.01,1.00,0.00,,Iglesias JR,2012,<html><b>...</b></html>,PHYSICA A,391,3942,1,-1
2,,0.00,1.00,0.00,,Hofmann M,2012,<html><b>...</b></html>,URBAN FOR URBAN GREE,11,303,1,-1
2,,0.01,1.00,0.00,,GEA,2012,<html><b>...</b></html>,GLOB EN ASS SUST FUT,0,0,1,-1
2,,0.00,1.00,0.00,,Chen YG,2012,<html><b>...</b></html>,PHYSICA A,391,767,0,-1
2,,0.01,1.00,0.00,,Bettencourt LMA,2012,<html><b>...</b></html>,1209014 SANT FE I,0,0,1,-1
30,,0.08,1.00,0.00,,Barthelemy M,2011,<html><b>...</b></html>,PHYS REP,499,1,4,-1
26,,0.02,1.00,0.00,,Glaeser E,2011,<html><b>...</b></html>,TRIUMPH CITY OUR GRE,0,0,5,-1
21,,0.06,1.00,0.00,,Rozenfeld HD,2011,<html><b>...</b></html>,AM ECON REV,101,2205,4,-1
13,3.11,0.03,1.11,0.00,,Kennedy C,2011,<html><b>...</b></html>,ENVIRON POLLUT,159,1965,6,-1
12,,0.01,1.00,0.00,,Roth C,2011,<html><b>...</b></html>,PLOS ONE,6,0,4,-1
11,,0.00,1.00,0.00,,Jiang B,2011,<html><b>...</b></html>,INT J GEOGR INF SCI,25,1269,6,-1
9,,0.02,1.00,0.00,,Seto KC,2011,<html><b>...</b></html>,PLOS ONE,6,0,4,-1
7,,0.00,1.00,0.00,,Expert P,2011,<html><b>...</b></html>,P NATL ACAD SCI USA,108,7663,4,-1
6,,0.01,1.00,0.00,,Pataki DE,2011,<html><b>...</b></html>,FRONT ECOL ENVIRON,9,27,4,-1
6,2.92,0.00,1.00,0.00,,Glaeser EL,2011,<html><b>...</b></html>,TRIUMPH CITY,0,0,2,-1
6,,0.03,1.00,0.00,,Brown JH,2011,<html><b>...</b></html>,BIOSCIENCE,61,19,6,-1
6,,0.02,1.00,0.00,,Angel S,2011,<html><b>...</b></html>,PROG PLANN,75,53,8,-1
4,,0.00,1.00,0.00,,Mesoudi A,2011,<html><b>...</b></html>,PLOS ONE,6,0,5,-1
4,,0.00,1.00,0.00,,Kennedy CA,2011,<html><b>...</b></html>,EVOLUTION GREAT WORL,0,0,2,-1
4,,0.00,1.00,0.00,,Fry JA,2011,<html><b>...</b></html>,PHOTOGRAMM ENG REM S,77,859,7,-1
